music,file,frame,zeroCrossing_0_mean,zeroCrossing_0_var
1,98curitiba_2017_05_20__12_07_00.wav,0,0.0374716553307,0.0004414592134584618
1,98curitiba_2017_05_20__12_07_00.wav,1,0.041303854868,0.00015660055927419755
1,98curitiba_2017_05_20__12_07_00.wav,2,0.0367460317435,0.00025465589095825347
1,98curitiba_2017_05_20__12_07_00.wav,3,0.056825396834,0.0025272983760874237
1,98curitiba_2017_05_20__12_07_00.wav,4,0.036757369617999996,0.00021079621434999334
1,98curitiba_2017_05_20__12_07_00.wav,5,0.057120181391,0.002587014416390847
1,98curitiba_2017_05_20__12_07_00.wav,6,0.055022675733,0.0019501127281665225
1,98curitiba_2017_05_20__12_07_00.wav,7,0.054829931986,0.001814399674897668
1,98curitiba_2017_05_20__12_07_00.wav,8,0.050170068033,0.002005814467749568
1,98curitiba_2017_05_20__12_07_00.wav,9,0.046428571418999996,0.0007724619188554159
1,98curitiba_2017_05_20__12_07_00.wav,10,0.052823129253,0.002120279181243043
1,98curitiba_2017_05_20__12_07_00.wav,11,0.042403628116,0.0001607230307917935
1,98curitiba_2017_05_20__12_07_00.wav,12,0.0401360544203,0.0002054678655339767
1,98curitiba_2017_05_20__12_07_00.wav,13,0.0509297052168,0.0011874567580956916
1,98curitiba_2017_05_20__12_07_00.wav,14,0.033004535153,0.00048795748559638566
1,98curitiba_2017_05_20__12_07_00.wav,15,0.048412698398,0.0006809758718833972
1,98curitiba_2017_05_20__12_07_00.wav,16,0.050510204084,0.00020664621550421666
1,98curitiba_2017_05_20__12_07_00.wav,17,0.045317460321,0.0002336821721842051
1,98curitiba_2017_05_20__12_07_00.wav,18,0.048106575961,0.00018968524802466264
1,98curitiba_2017_05_20__12_07_00.wav,19,0.050124716556,0.00012395838416943766
1,98curitiba_2017_05_20__12_07_00.wav,20,0.059920634919,0.0017641715834422135
1,98curitiba_2017_05_20__12_07_00.wav,21,0.061360544219,0.00337952776245181
1,98curitiba_2017_05_20__12_07_00.wav,22,0.036428571421,0.0002775752183247891
1,98curitiba_2017_05_20__12_07_00.wav,23,0.061530612237,0.0029924206670696217
1,98curitiba_2017_05_20__12_07_00.wav,24,0.07223356009,0.0028664038432965624
1,98curitiba_2017_05_20__12_07_00.wav,25,0.040804988665,0.00024188945982105313
1,98curitiba_2017_05_20__12_07_00.wav,26,0.042800453513,0.0004269424614591275
1,98curitiba_2017_05_20__12_07_00.wav,27,0.038458049883,0.00016520738256986512
1,98curitiba_2017_05_20__12_07_00.wav,28,0.044013605439,7.9553355703371e-05
1,98curitiba_2017_05_20__12_07_00.wav,29,0.054183673473,0.0009507639850621462
1,98curitiba_2017_05_20__12_07_00.wav,30,0.045294784582,0.00031852128731377254
1,98curitiba_2017_05_20__12_07_00.wav,31,0.046179138322,6.042643211301491e-05
1,98curitiba_2017_05_20__12_07_00.wav,32,0.044149659869,0.00010722192026512388
1,98curitiba_2017_05_20__12_07_00.wav,33,0.04096371882,0.00016863466029041812
1,98curitiba_2017_05_20__12_07_00.wav,34,0.039058956907,0.0001848321347072665
1,98curitiba_2017_05_20__12_07_00.wav,35,0.047607709745,0.00125972408163841
1,98curitiba_2017_05_20__12_07_00.wav,36,0.047426303848,0.0003014512487256477
1,98curitiba_2017_05_20__12_07_00.wav,37,0.048231292513,0.00016631730393653363
1,98curitiba_2017_05_20__12_07_00.wav,38,0.044104308386,9.35019022143141e-05
1,98curitiba_2017_05_20__12_07_00.wav,39,0.064988662126,0.0010791186825026345
1,98curitiba_2017_05_20__12_09_00.wav,0,0.0268820861655,6.42553225107721e-05
1,98curitiba_2017_05_20__12_09_00.wav,1,0.0276984127,4.685495743674475e-05
1,98curitiba_2017_05_20__12_09_00.wav,2,0.02835600907,0.00014253151558253697
1,98curitiba_2017_05_20__12_09_00.wav,3,0.074750566891,0.0005569149106913727
1,98curitiba_2017_05_20__12_09_00.wav,4,0.089614512456,0.005119554925722049
1,98curitiba_2017_05_20__12_09_00.wav,5,0.067698412703,0.001988257248863586
1,98curitiba_2017_05_20__12_09_00.wav,6,0.043265306122,0.000996065206005503
