music,file,frame,spectralShapeStatistics_mean,spectralShapeStatistics_var
1,98curitiba_2017_05_20__12_07_00.wav,0,1.550082178037,171.4784292968848
1,98curitiba_2017_05_20__12_07_00.wav,1,0.6138445639460001,16.771756535480513
1,98curitiba_2017_05_20__12_07_00.wav,2,3.204922565994,32.09071712278856
1,98curitiba_2017_05_20__12_07_00.wav,3,-1.0346119449194002,99.52185028613685
1,98curitiba_2017_05_20__12_07_00.wav,4,3.193311750984,31.901293628180653
1,98curitiba_2017_05_20__12_07_00.wav,5,-4.143713947884,108.29114266131326
1,98curitiba_2017_05_20__12_07_00.wav,6,-2.459327052237,83.75055650789783
1,98curitiba_2017_05_20__12_07_00.wav,7,-3.680437719724,73.6250712455592
1,98curitiba_2017_05_20__12_07_00.wav,8,1.226763975346,131.47060265872864
1,98curitiba_2017_05_20__12_07_00.wav,9,-0.03731387388800005,49.139033951696675
1,98curitiba_2017_05_20__12_07_00.wav,10,-2.9619163571079996,97.83624471349623
1,98curitiba_2017_05_20__12_07_00.wav,11,-1.2630060471389999,14.635744314954586
1,98curitiba_2017_05_20__12_07_00.wav,12,1.1919164347298,15.763680707948131
1,98curitiba_2017_05_20__12_07_00.wav,13,1.7344246322199999,71.8631963723644
1,98curitiba_2017_05_20__12_07_00.wav,14,4.67723878469,51.2460115359437
1,98curitiba_2017_05_20__12_07_00.wav,15,-1.615251394142,20.97941118124278
1,98curitiba_2017_05_20__12_07_00.wav,16,-2.159200888427,15.436621159981671
1,98curitiba_2017_05_20__12_07_00.wav,17,-2.46277207311,11.339506770425896
1,98curitiba_2017_05_20__12_07_00.wav,18,1.410451258505,23.55233118328142
1,98curitiba_2017_05_20__12_07_00.wav,19,-0.8825628542689999,16.363636683671608
1,98curitiba_2017_05_20__12_07_00.wav,20,-4.202652682413,57.58514563310632
1,98curitiba_2017_05_20__12_07_00.wav,21,-2.284262984677,158.64504098322712
1,98curitiba_2017_05_20__12_07_00.wav,22,2.941936977594,38.29893081772921
1,98curitiba_2017_05_20__12_07_00.wav,23,-4.656142796073,166.41189348663067
1,98curitiba_2017_05_20__12_07_00.wav,24,-6.18289378949,163.37754594793853
1,98curitiba_2017_05_20__12_07_00.wav,25,-0.962156594056,12.928457065851195
1,98curitiba_2017_05_20__12_07_00.wav,26,2.640118080571,37.04002256219114
1,98curitiba_2017_05_20__12_07_00.wav,27,5.306497676984,28.24363631100108
1,98curitiba_2017_05_20__12_07_00.wav,28,1.272063604318,12.413244841626057
1,98curitiba_2017_05_20__12_07_00.wav,29,-2.787136268451,36.20276347236258
1,98curitiba_2017_05_20__12_07_00.wav,30,0.940252460958,23.123315499225722
1,98curitiba_2017_05_20__12_07_00.wav,31,1.498388623,13.751427706023968
1,98curitiba_2017_05_20__12_07_00.wav,32,-0.9024402667320001,6.273650655493095
1,98curitiba_2017_05_20__12_07_00.wav,33,3.230252274692,24.5474393642776
1,98curitiba_2017_05_20__12_07_00.wav,34,2.484300022405,21.728708622507583
1,98curitiba_2017_05_20__12_07_00.wav,35,0.36921488426999993,66.2092124036197
1,98curitiba_2017_05_20__12_07_00.wav,36,-2.055936552927,13.455676534565256
1,98curitiba_2017_05_20__12_07_00.wav,37,4.30026818111,35.52814433275277
1,98curitiba_2017_05_20__12_07_00.wav,38,3.332025748154,26.353951821219585
1,98curitiba_2017_05_20__12_07_00.wav,39,-2.889507191117,32.73876590916674
1,98curitiba_2017_05_20__12_09_00.wav,0,18.23534553799,443.1339531656729
1,98curitiba_2017_05_20__12_09_00.wav,1,15.58322259044,47.11921773343504
1,98curitiba_2017_05_20__12_09_00.wav,2,12.13089565847,101.58207696190242
1,98curitiba_2017_05_20__12_09_00.wav,3,-4.846472838724,20.484057867067868
1,98curitiba_2017_05_20__12_09_00.wav,4,-12.96417096982,378.87505415589226
1,98curitiba_2017_05_20__12_09_00.wav,5,-8.671465663679,140.32436078113062
1,98curitiba_2017_05_20__12_09_00.wav,6,-0.46037930088999995,31.160964942708766
1,98curitiba_2017_05_20__12_09_00.wav,7,0.438345046403,18.30912900149313
1,98curitiba_2017_05_20__12_09_00.wav,8,-0.2777906964108999,106.61706099592865
1,98curitiba_2017_05_20__12_09_00.wav,9,-4.65857044583,189.92965258340683
1,98curitiba_2017_05_20__12_09_00.wav,10,-2.24902505313,128.50930126006432
1,98curitiba_2017_05_20__12_09_00.wav,11,-3.117371005376,163.79089991531956
1,98curitiba_2017_05_20__12_09_00.wav,12,0.851947230634,61.099662414594754
1,98curitiba_2017_05_20__12_09_00.wav,13,0.9418929687800002,76.06514372612563
1,98curitiba_2017_05_20__12_09_00.wav,14,-0.86747341426,98.83640049357729
1,98curitiba_2017_05_20__12_09_00.wav,15,-0.15508874300099995,40.64980648454433
1,98curitiba_2017_05_20__12_09_00.wav,16,-2.7838762981159997,317.31646722232165
1,98curitiba_2017_05_20__12_09_00.wav,17,-3.574831829951,160.3415360399531
1,98curitiba_2017_05_20__12_09_00.wav,18,-0.8657792277799999,99.1185012362506
1,98curitiba_2017_05_20__12_09_00.wav,19,0.41115839567100004,42.94899408898483
1,98curitiba_2017_05_20__12_09_00.wav,20,1.38973386991,34.17400748380242
1,98curitiba_2017_05_20__12_09_00.wav,21,2.447351963004,13.63995644955486
1,98curitiba_2017_05_20__12_09_00.wav,22,-2.0708614155478,51.17192850196361
1,98curitiba_2017_05_20__12_09_00.wav,23,1.421769147387,101.3498238234736
1,98curitiba_2017_05_20__12_09_00.wav,24,-0.4327261696729999,44.43898266576799
1,98curitiba_2017_05_20__12_09_00.wav,25,-0.2343051213099999,51.85127059083663
1,98curitiba_2017_05_20__12_09_00.wav,26,0.025472914910000023,49.51818681192113
1,98curitiba_2017_05_20__12_09_00.wav,27,1.428846119451,21.934626733024658
1,98curitiba_2017_05_20__12_09_00.wav,28,-0.9406669981515,23.81359357029042
1,98curitiba_2017_05_20__12_09_00.wav,29,2.919349655791,35.76151941675491
1,98curitiba_2017_05_20__12_09_00.wav,30,-0.58208952419,25.906644418532572
1,98curitiba_2017_05_20__12_09_00.wav,31,0.798554990843,51.62341999854283
1,98curitiba_2017_05_20__12_09_00.wav,32,0.282260785227,24.648812023104224
1,98curitiba_2017_05_20__12_09_00.wav,33,4.401825621656,34.45679579184408
1,98curitiba_2017_05_20__12_09_00.wav,34,0.670452227715,4.389747514597692
