music,file,frame,spectralFlux_0_mean,spectralFlux_0_var
1,98curitiba_2017_05_20__12_07_00.wav,0,1851308141.8981452,3.4273415673581286e+20
1,98curitiba_2017_05_20__12_07_00.wav,1,0.317467273113,0.024860865432580787
1,98curitiba_2017_05_20__12_07_00.wav,2,0.367728291193,0.05146714042154022
1,98curitiba_2017_05_20__12_07_00.wav,3,0.297476636806,0.037608068089390975
1,98curitiba_2017_05_20__12_07_00.wav,4,0.278618502231,0.035263763901584304
1,98curitiba_2017_05_20__12_07_00.wav,5,0.265182178941,0.0288256892614181
1,98curitiba_2017_05_20__12_07_00.wav,6,0.254590535128,0.023824530854224195
1,98curitiba_2017_05_20__12_07_00.wav,7,0.257559240018,0.024990031528936793
1,98curitiba_2017_05_20__12_07_00.wav,8,0.210773512959,0.02388408978199515
1,98curitiba_2017_05_20__12_07_00.wav,9,0.260044661144,0.0780812059821016
1,98curitiba_2017_05_20__12_07_00.wav,10,0.26834589732,0.04622669846095649
1,98curitiba_2017_05_20__12_07_00.wav,11,0.239425194429,0.013655295163281784
1,98curitiba_2017_05_20__12_07_00.wav,12,0.282805328192,0.02833626694788978
1,98curitiba_2017_05_20__12_07_00.wav,13,0.299795880566,0.05712707174254343
1,98curitiba_2017_05_20__12_07_00.wav,14,0.261930949905,0.028530963064554042
1,98curitiba_2017_05_20__12_07_00.wav,15,0.283176733213,0.045211903692663626
1,98curitiba_2017_05_20__12_07_00.wav,16,0.292272766728,0.033317293158593116
1,98curitiba_2017_05_20__12_07_00.wav,17,0.323027406598,0.0727782363807186
1,98curitiba_2017_05_20__12_07_00.wav,18,0.228027434849,0.022171818141522668
1,98curitiba_2017_05_20__12_07_00.wav,19,0.287818039489,0.05916575898696981
1,98curitiba_2017_05_20__12_07_00.wav,20,0.33647291664,0.08025173807074196
1,98curitiba_2017_05_20__12_07_00.wav,21,0.287479988384,0.01756310151174489
1,98curitiba_2017_05_20__12_07_00.wav,22,0.22344647286,0.026515572886798896
1,98curitiba_2017_05_20__12_07_00.wav,23,0.299408423545,0.035111318886780964
1,98curitiba_2017_05_20__12_07_00.wav,24,0.299525859499,0.026533201550892414
1,98curitiba_2017_05_20__12_07_00.wav,25,0.2658514293,0.05229510363436663
1,98curitiba_2017_05_20__12_07_00.wav,26,0.294924748719,0.03894150655714425
1,98curitiba_2017_05_20__12_07_00.wav,27,0.276891963703,0.04480204208743143
1,98curitiba_2017_05_20__12_07_00.wav,28,0.272017073658,0.022039550148779275
1,98curitiba_2017_05_20__12_07_00.wav,29,0.291033225815,0.039218528807603986
1,98curitiba_2017_05_20__12_07_00.wav,30,0.31020041517,0.047862319396979554
1,98curitiba_2017_05_20__12_07_00.wav,31,0.233173040971,0.030994222037288348
1,98curitiba_2017_05_20__12_07_00.wav,32,0.264999745509,0.04111585701692101
1,98curitiba_2017_05_20__12_07_00.wav,33,0.307181811975,0.028872711817107235
1,98curitiba_2017_05_20__12_07_00.wav,34,0.32779393800400003,0.055415706962026336
1,98curitiba_2017_05_20__12_07_00.wav,35,0.28752599867399997,0.10528660485898567
1,98curitiba_2017_05_20__12_07_00.wav,36,0.223920773763,0.05023389886579437
1,98curitiba_2017_05_20__12_07_00.wav,37,0.320321335735,0.06651968040427056
1,98curitiba_2017_05_20__12_07_00.wav,38,0.217054612642,0.02035438764261279
1,98curitiba_2017_05_20__12_07_00.wav,39,0.310129600518,0.02798007989824319
1,98curitiba_2017_05_20__12_09_00.wav,0,10629839.813729329,1.1292620672800982e+16
1,98curitiba_2017_05_20__12_09_00.wav,1,0.175009735203,0.03262370997161285
1,98curitiba_2017_05_20__12_09_00.wav,2,0.19599408693,0.08084400914700726
1,98curitiba_2017_05_20__12_09_00.wav,3,0.245382378489,0.012901935264229574
1,98curitiba_2017_05_20__12_09_00.wav,4,0.194600867309,0.08284496978853428
1,98curitiba_2017_05_20__12_09_00.wav,5,0.232181299518,0.1125103181505309
1,98curitiba_2017_05_20__12_09_00.wav,6,0.209580554027,0.06061435868721576
1,98curitiba_2017_05_20__12_09_00.wav,7,0.159018462831,0.029578847297310213
1,98curitiba_2017_05_20__12_09_00.wav,8,0.234289299938,0.13743076709505847
1,98curitiba_2017_05_20__12_09_00.wav,9,0.269059743147,0.07185079058201867
1,98curitiba_2017_05_20__12_09_00.wav,10,0.285023251623,0.12160283551238897
1,98curitiba_2017_05_20__12_09_00.wav,11,0.254682211637,0.12903239770226427
1,98curitiba_2017_05_20__12_09_00.wav,12,0.177166785707,0.039957262384592664
1,98curitiba_2017_05_20__12_09_00.wav,13,0.22883321567,0.09763893790058713
1,98curitiba_2017_05_20__12_09_00.wav,14,0.274793622022,0.10190509767867875
1,98curitiba_2017_05_20__12_09_00.wav,15,0.184157353106,0.03358538429313331
1,98curitiba_2017_05_20__12_09_00.wav,16,0.264876978708,0.05953262397419188
1,98curitiba_2017_05_20__12_09_00.wav,17,0.2024081578517,0.0774662787973431
1,98curitiba_2017_05_20__12_09_00.wav,18,0.1378218393347,0.03294333884790059
1,98curitiba_2017_05_20__12_09_00.wav,19,0.258705763105,0.07709796561419699
1,98curitiba_2017_05_20__12_09_00.wav,20,0.275956468605,0.044401666446492995
1,98curitiba_2017_05_20__12_09_00.wav,21,0.393293136501,0.3438832598344534
1,98curitiba_2017_05_20__12_09_00.wav,22,0.258578681042,0.04398023772448561
1,98curitiba_2017_05_20__12_09_00.wav,23,0.395455498829,0.07788931073402712
1,98curitiba_2017_05_20__12_09_00.wav,24,0.337232738438,0.13534215070538
1,98curitiba_2017_05_20__12_09_00.wav,25,0.35732144728,0.10701158323465836
1,98curitiba_2017_05_20__12_09_00.wav,26,0.267825814098,0.03536971947856232
1,98curitiba_2017_05_20__12_09_00.wav,27,0.296595502286,0.025687283939468793
1,98curitiba_2017_05_20__12_09_00.wav,28,0.324368370996,0.1293476625399622
1,98curitiba_2017_05_20__12_09_00.wav,29,0.315851084687,0.053972588463794
1,98curitiba_2017_05_20__12_09_00.wav,30,0.305156486958,0.04443688202508494
1,98curitiba_2017_05_20__12_09_00.wav,31,0.293041163721,0.042194430752497195
1,98curitiba_2017_05_20__12_09_00.wav,32,0.243911269609,0.039082015682041296
1,98curitiba_2017_05_20__12_09_00.wav,33,0.20893481221,0.02771201832410066
1,98curitiba_2017_05_20__12_09_00.wav,34,0.331724017045,0.16137720595552826
1,98curitiba_2017_05_20__12_09_00.wav,35,0.320449513165,0.1836809394696873
